年月日,気圧_現地,気圧_海面,降水量_合計,降水量_1時間最大,降水量_10分間最大,気温_平均,気温_最高,気温_最低,湿度_平均,湿度_最小,風速_平均,風速_最大,風向_最大,風速_最大瞬間,風向_最大瞬間,日照時間,降雪_合計,積雪_最深,天気_昼,天気_夜
2023-6-14,1003.5,1006.3,3.5,3.5,1.5,23.6,25.8,21.4,87.0,69.0,2.4,6.0,南東,8.5,南南東,0.0,0,0,曇一時雨,曇時々雨
2023-6-15,1004.0,1006.8,6.0,1.5,0.5,21.7,24.1,20.3,95.0,78.0,1.9,4.4,東北東,7.0,北東,0.0,0,0,曇後雨,雨後晴一時曇
2023-6-16,1004.7,1007.5,1.5,1.5,0.5,24.6,30.7,19.7,66.0,38.0,3.2,8.5,北西,16.7,北西,12.0,0,0,晴,晴
2023-6-17,1008.9,1011.7,0,0,0,25.4,30.9,18.8,59.0,43.0,3.0,6.0,南東,9.8,南南東,13.3,0,0,晴,晴
2023-6-18,1002.9,1005.7,0,0,0,25.7,31.1,21.2,72.0,50.0,2.5,5.6,南東,8.3,南東,10.3,0,0,薄曇一時晴,晴一時曇
2023-6-19,1002.3,1005.1,0.0,0.0,0.0,23.7,27.7,18.8,68.0,53.0,3.3,5.4,北東,9.1,北北東,3.9,0,0,曇時々晴,曇一時晴
2023-6-20,1008.6,1011.4,0.0,0.0,0.0,22.5,27.0,18.9,68.0,49.0,2.8,5.8,南南東,9.7,南南東,5.5,0,0,薄曇時々晴,晴時々薄曇
2023-6-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-6-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-6-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-6-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-6-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-6-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-6-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-6-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-6-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-6-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
